ngay_ban,san_pham,khu_vuc,so_cuoc_goi,thoi_gian_trung_binh,so_luong_ban,camera_truoc,ram,the_nho,dung_luong_pin,man_hinh_rong,don_gia
2018-11-14,BlackBerry KEY2,Bắc Ninh,179,319,3753,8,4,128,3000,4.5,6200000
2018-11-15,BlackBerry KEY2,Bắc Ninh,364,370,1406,8,4,128,3000,4.5,6200000
2018-11-16,BlackBerry KEY2,Bắc Ninh,396,488,2342,8,4,128,3000,4.5,6200000
2018-11-17,BlackBerry KEY2,Bắc Ninh,241,218,3467,8,4,128,3000,4.5,6200000
2018-11-18,BlackBerry KEY2,Bắc Ninh,281,338,1769,8,4,128,3000,4.5,6200000
2018-11-19,BlackBerry KEY2,Bắc Ninh,164,379,3664,8,4,128,3000,4.5,6200000
2018-11-20,BlackBerry KEY2,Bắc Ninh,383,398,1321,8,4,128,3000,4.5,6200000
2018-11-21,BlackBerry KEY2,Bắc Ninh,241,288,3182,8,4,128,3000,4.5,6200000
2018-11-22,BlackBerry KEY2,Bắc Ninh,313,229,1946,8,4,128,3000,4.5,6200000
2018-11-23,BlackBerry KEY2,Bắc Ninh,204,245,2769,8,4,128,3000,4.5,6200000
2018-11-24,BlackBerry KEY2,Bắc Ninh,152,402,3707,8,4,128,3000,4.5,6200000
2018-11-25,BlackBerry KEY2,Bắc Ninh,253,340,1259,8,4,128,3000,4.5,6200000
2018-11-26,BlackBerry KEY2,Bắc Ninh,107,391,2034,8,4,128,3000,4.5,6200000
2018-11-27,BlackBerry KEY2,Bắc Ninh,161,464,2983,8,4,128,3000,4.5,6200000
2018-11-28,BlackBerry KEY2,Bắc Ninh,124,363,3980,8,4,128,3000,4.5,6200000
2018-11-29,BlackBerry KEY2,Bắc Ninh,174,390,1987,8,4,128,3000,4.5,6200000
2018-11-30,BlackBerry KEY2,Bắc Ninh,343,422,1789,8,4,128,3000,4.5,6200000
2018-12-01,BlackBerry KEY2,Bắc Ninh,360,242,3627,8,4,128,3000,4.5,6200000
2018-12-02,BlackBerry KEY2,Bắc Ninh,386,397,1609,8,4,128,3000,4.5,6200000
2018-12-03,BlackBerry KEY2,Bắc Ninh,123,439,1649,8,4,128,3000,4.5,6200000
2018-12-04,BlackBerry KEY2,Bắc Ninh,375,382,2477,8,4,128,3000,4.5,6200000
2018-12-05,BlackBerry KEY2,Bắc Ninh,357,499,3835,8,4,128,3000,4.5,6200000
2018-12-06,BlackBerry KEY2,Bắc Ninh,348,436,3268,8,4,128,3000,4.5,6200000
2018-12-07,BlackBerry KEY2,Bắc Ninh,259,370,3132,8,4,128,3000,4.5,6200000
2018-12-08,BlackBerry KEY2,Bắc Ninh,206,338,1541,8,4,128,3000,4.5,6200000
2018-12-09,BlackBerry KEY2,Bắc Ninh,355,227,3957,8,4,128,3000,4.5,6200000
2018-12-10,BlackBerry KEY2,Bắc Ninh,268,429,1196,8,4,128,3000,4.5,6200000
2018-12-11,BlackBerry KEY2,Bắc Ninh,158,434,2195,8,4,128,3000,4.5,6200000
2018-12-12,BlackBerry KEY2,Bắc Ninh,224,288,2462,8,4,128,3000,4.5,6200000
2018-12-13,BlackBerry KEY2,Bắc Ninh,341,219,4020,8,4,128,3000,4.5,6200000
2018-12-14,BlackBerry KEY2,Bắc Ninh,193,472,1242,8,4,128,3000,4.5,6200000
2018-12-15,BlackBerry KEY2,Bắc Ninh,290,360,2269,8,4,128,3000,4.5,6200000
2018-12-16,BlackBerry KEY2,Bắc Ninh,263,359,3127,8,4,128,3000,4.5,6200000
2018-12-17,BlackBerry KEY2,Bắc Ninh,100,443,1755,8,4,128,3000,4.5,6200000
2018-12-18,BlackBerry KEY2,Bắc Ninh,307,232,1830,8,4,128,3000,4.5,6200000
2018-12-19,BlackBerry KEY2,Bắc Ninh,176,313,1708,8,4,128,3000,4.5,6200000
2018-12-20,BlackBerry KEY2,Bắc Ninh,261,230,3085,8,4,128,3000,4.5,6200000
2018-12-21,BlackBerry KEY2,Bắc Ninh,124,283,3260,8,4,128,3000,4.5,6200000
2018-12-22,BlackBerry KEY2,Bắc Ninh,181,364,3847,8,4,128,3000,4.5,6200000
2018-12-23,BlackBerry KEY2,Bắc Ninh,387,227,3565,8,4,128,3000,4.5,6200000
2018-12-24,BlackBerry KEY2,Bắc Ninh,249,329,1324,8,4,128,3000,4.5,6200000
2018-12-25,BlackBerry KEY2,Bắc Ninh,390,213,1959,8,4,128,3000,4.5,6200000
2018-12-26,BlackBerry KEY2,Bắc Ninh,376,385,2287,8,4,128,3000,4.5,6200000
2018-12-27,BlackBerry KEY2,Bắc Ninh,368,338,1499,8,4,128,3000,4.5,6200000
2018-12-28,BlackBerry KEY2,Bắc Ninh,193,335,2667,8,4,128,3000,4.5,6200000
2018-12-29,BlackBerry KEY2,Bắc Ninh,281,315,1369,8,4,128,3000,4.5,6200000
2018-12-30,BlackBerry KEY2,Bắc Ninh,234,371,2705,8,4,128,3000,4.5,6200000
2018-12-31,BlackBerry KEY2,Bắc Ninh,195,253,2362,8,4,128,3000,4.5,6200000
2019-01-01,BlackBerry KEY2,Bắc Ninh,132,481,1476,8,4,128,3000,4.5,6200000
2019-01-02,BlackBerry KEY2,Bắc Ninh,378,453,1901,8,4,128,3000,4.5,6200000
2019-01-03,BlackBerry KEY2,Bắc Ninh,207,260,3206,8,4,128,3000,4.5,6200000
2019-01-04,BlackBerry KEY2,Bắc Ninh,217,401,3671,8,4,128,3000,4.5,6200000
2019-01-05,BlackBerry KEY2,Bắc Ninh,356,478,1978,8,4,128,3000,4.5,6200000
2019-01-06,BlackBerry KEY2,Bắc Ninh,136,420,3722,8,4,128,3000,4.5,6200000
2019-01-07,BlackBerry KEY2,Bắc Ninh,330,286,1101,8,4,128,3000,4.5,6200000
2019-01-08,BlackBerry KEY2,Bắc Ninh,129,426,2678,8,4,128,3000,4.5,6200000
2019-01-09,BlackBerry KEY2,Bắc Ninh,233,342,2596,8,4,128,3000,4.5,6200000
2019-01-10,BlackBerry KEY2,Bắc Ninh,353,494,3883,8,4,128,3000,4.5,6200000
2019-01-11,BlackBerry KEY2,Bắc Ninh,336,261,1107,8,4,128,3000,4.5,6200000
2019-01-12,BlackBerry KEY2,Bắc Ninh,120,284,3502,8,4,128,3000,4.5,6200000
2019-01-13,BlackBerry KEY2,Bắc Ninh,388,280,3469,8,4,128,3000,4.5,6200000
2019-01-14,BlackBerry KEY2,Bắc Ninh,238,252,2979,8,4,128,3000,4.5,6200000
2019-01-15,BlackBerry KEY2,Bắc Ninh,376,348,3911,8,4,128,3000,4.5,6200000
2019-01-16,BlackBerry KEY2,Bắc Ninh,194,492,1229,8,4,128,3000,4.5,6200000
2019-01-17,BlackBerry KEY2,Bắc Ninh,373,481,1847,8,4,128,3000,4.5,6200000
2019-01-18,BlackBerry KEY2,Bắc Ninh,212,331,1269,8,4,128,3000,4.5,6200000
2019-01-19,BlackBerry KEY2,Bắc Ninh,198,304,3697,8,4,128,3000,4.5,6200000
2018-03-29,BlackBerry KEY2,Bắc Ninh,165,407,2581,8,4,128,3000,4.5,6200000
2018-03-30,BlackBerry KEY2,Bắc Ninh,175,302,1634,8,4,128,3000,4.5,6200000
2018-03-31,BlackBerry KEY2,Bắc Ninh,348,205,3885,8,4,128,3000,4.5,6200000
2018-04-01,BlackBerry KEY2,Bắc Ninh,259,452,3462,8,4,128,3000,4.5,6200000
2018-04-02,BlackBerry KEY2,Bắc Ninh,131,267,3363,8,4,128,3000,4.5,6200000
2018-04-03,BlackBerry KEY2,Bắc Ninh,152,323,1438,8,4,128,3000,4.5,6200000
2018-04-04,BlackBerry KEY2,Bắc Ninh,280,436,3247,8,4,128,3000,4.5,6200000
2018-04-05,BlackBerry KEY2,Bắc Ninh,274,397,3224,8,4,128,3000,4.5,6200000
2018-04-06,BlackBerry KEY2,Bắc Ninh,383,275,4070,8,4,128,3000,4.5,6200000
2018-04-07,BlackBerry KEY2,Bắc Ninh,172,208,2888,8,4,128,3000,4.5,6200000
2018-04-08,BlackBerry KEY2,Bắc Ninh,363,300,2776,8,4,128,3000,4.5,6200000
2018-04-09,BlackBerry KEY2,Bắc Ninh,157,226,3308,8,4,128,3000,4.5,6200000
2018-04-10,BlackBerry KEY2,Bắc Ninh,105,379,1859,8,4,128,3000,4.5,6200000
2018-04-11,BlackBerry KEY2,Bắc Ninh,143,249,2473,8,4,128,3000,4.5,6200000
2018-04-12,BlackBerry KEY2,Bắc Ninh,323,326,3431,8,4,128,3000,4.5,6200000
2018-04-13,BlackBerry KEY2,Bắc Ninh,387,330,3221,8,4,128,3000,4.5,6200000
2018-04-14,BlackBerry KEY2,Bắc Ninh,359,490,3339,8,4,128,3000,4.5,6200000
2018-04-15,BlackBerry KEY2,Bắc Ninh,295,439,2962,8,4,128,3000,4.5,6200000
2018-04-16,BlackBerry KEY2,Bắc Ninh,208,366,2582,8,4,128,3000,4.5,6200000
2018-04-17,BlackBerry KEY2,Bắc Ninh,247,347,1865,8,4,128,3000,4.5,6200000
2018-04-18,BlackBerry KEY2,Bắc Ninh,231,478,1745,8,4,128,3000,4.5,6200000
2018-04-19,BlackBerry KEY2,Bắc Ninh,164,314,2624,8,4,128,3000,4.5,6200000
2018-04-20,BlackBerry KEY2,Bắc Ninh,122,333,3026,8,4,128,3000,4.5,6200000
2018-04-21,BlackBerry KEY2,Bắc Ninh,158,316,3266,8,4,128,3000,4.5,6200000
2018-04-22,BlackBerry KEY2,Bắc Ninh,195,354,3921,8,4,128,3000,4.5,6200000
2018-04-23,BlackBerry KEY2,Bắc Ninh,293,256,3149,8,4,128,3000,4.5,6200000
2018-04-24,BlackBerry KEY2,Bắc Ninh,120,200,1416,8,4,128,3000,4.5,6200000
2018-04-25,BlackBerry KEY2,Bắc Ninh,135,431,2138,8,4,128,3000,4.5,6200000
2018-04-26,BlackBerry KEY2,Bắc Ninh,235,384,1722,8,4,128,3000,4.5,6200000
2018-04-27,BlackBerry KEY2,Bắc Ninh,200,204,3641,8,4,128,3000,4.5,6200000
2018-04-28,BlackBerry KEY2,Bắc Ninh,234,232,3024,8,4,128,3000,4.5,6200000
2018-04-29,BlackBerry KEY2,Bắc Ninh,205,309,3773,8,4,128,3000,4.5,6200000
2018-04-30,BlackBerry KEY2,Bắc Ninh,202,294,1202,8,4,128,3000,4.5,6200000
2018-05-01,BlackBerry KEY2,Bắc Ninh,201,323,1841,8,4,128,3000,4.5,6200000
2018-05-02,BlackBerry KEY2,Bắc Ninh,288,448,2760,8,4,128,3000,4.5,6200000
2018-05-03,BlackBerry KEY2,Bắc Ninh,335,301,3117,8,4,128,3000,4.5,6200000
2018-05-04,BlackBerry KEY2,Bắc Ninh,257,423,2612,8,4,128,3000,4.5,6200000
2018-05-05,BlackBerry KEY2,Bắc Ninh,309,392,1257,8,4,128,3000,4.5,6200000
2018-05-06,BlackBerry KEY2,Bắc Ninh,387,406,1791,8,4,128,3000,4.5,6200000
2018-05-07,BlackBerry KEY2,Bắc Ninh,302,204,3319,8,4,128,3000,4.5,6200000
2018-05-08,BlackBerry KEY2,Bắc Ninh,392,376,3388,8,4,128,3000,4.5,6200000
2018-05-09,BlackBerry KEY2,Bắc Ninh,353,342,3601,8,4,128,3000,4.5,6200000
2018-05-10,BlackBerry KEY2,Bắc Ninh,212,319,2939,8,4,128,3000,4.5,6200000
2018-05-11,BlackBerry KEY2,Bắc Ninh,297,450,3685,8,4,128,3000,4.5,6200000
2018-05-12,BlackBerry KEY2,Bắc Ninh,371,427,1482,8,4,128,3000,4.5,6200000
2018-05-13,BlackBerry KEY2,Bắc Ninh,396,274,3249,8,4,128,3000,4.5,6200000
2018-05-14,BlackBerry KEY2,Bắc Ninh,225,337,2883,8,4,128,3000,4.5,6200000
2018-05-15,BlackBerry KEY2,Bắc Ninh,329,471,1438,8,4,128,3000,4.5,6200000
2018-05-16,BlackBerry KEY2,Bắc Ninh,317,266,3265,8,4,128,3000,4.5,6200000
2018-05-17,BlackBerry KEY2,Bắc Ninh,358,380,2516,8,4,128,3000,4.5,6200000
2018-05-18,BlackBerry KEY2,Bắc Ninh,292,281,3770,8,4,128,3000,4.5,6200000
2018-05-19,BlackBerry KEY2,Bắc Ninh,162,271,1334,8,4,128,3000,4.5,6200000
2018-05-20,BlackBerry KEY2,Bắc Ninh,365,476,3755,8,4,128,3000,4.5,6200000
2018-05-21,BlackBerry KEY2,Bắc Ninh,259,248,2046,8,4,128,3000,4.5,6200000
2018-05-22,BlackBerry KEY2,Bắc Ninh,198,319,3065,8,4,128,3000,4.5,6200000
2018-05-23,BlackBerry KEY2,Bắc Ninh,221,202,3639,8,4,128,3000,4.5,6200000
2018-05-24,BlackBerry KEY2,Bắc Ninh,139,251,3457,8,4,128,3000,4.5,6200000
2018-05-25,BlackBerry KEY2,Bắc Ninh,282,240,2716,8,4,128,3000,4.5,6200000
2018-05-26,BlackBerry KEY2,Bắc Ninh,375,220,2351,8,4,128,3000,4.5,6200000
2018-05-27,BlackBerry KEY2,Bắc Ninh,245,408,1719,8,4,128,3000,4.5,6200000
2018-05-28,BlackBerry KEY2,Bắc Ninh,138,383,1112,8,4,128,3000,4.5,6200000
2018-05-29,BlackBerry KEY2,Bắc Ninh,291,274,2793,8,4,128,3000,4.5,6200000
2018-05-30,BlackBerry KEY2,Bắc Ninh,321,285,3982,8,4,128,3000,4.5,6200000
2018-05-31,BlackBerry KEY2,Bắc Ninh,331,294,2531,8,4,128,3000,4.5,6200000
2018-06-01,BlackBerry KEY2,Bắc Ninh,191,498,1545,8,4,128,3000,4.5,6200000
2018-06-02,BlackBerry KEY2,Bắc Ninh,319,336,3879,8,4,128,3000,4.5,6200000
2018-06-03,BlackBerry KEY2,Bắc Ninh,138,410,1472,8,4,128,3000,4.5,6200000
2018-06-04,BlackBerry KEY2,Bắc Ninh,184,359,3145,8,4,128,3000,4.5,6200000
2018-06-05,BlackBerry KEY2,Bắc Ninh,379,365,2988,8,4,128,3000,4.5,6200000
2018-06-06,BlackBerry KEY2,Bắc Ninh,244,267,3624,8,4,128,3000,4.5,6200000
2018-06-07,BlackBerry KEY2,Bắc Ninh,188,393,3202,8,4,128,3000,4.5,6200000
2018-06-08,BlackBerry KEY2,Bắc Ninh,247,490,3710,8,4,128,3000,4.5,6200000
2018-06-09,BlackBerry KEY2,Bắc Ninh,390,415,2348,8,4,128,3000,4.5,6200000
2018-06-10,BlackBerry KEY2,Bắc Ninh,377,434,3545,8,4,128,3000,4.5,6200000
2018-06-11,BlackBerry KEY2,Bắc Ninh,369,483,2695,8,4,128,3000,4.5,6200000
2018-06-12,BlackBerry KEY2,Bắc Ninh,176,275,2114,8,4,128,3000,4.5,6200000
2018-06-14,BlackBerry KEY2,Bắc Ninh,330,259,1890,8,4,128,3000,4.5,6200000
2018-06-15,BlackBerry KEY2,Bắc Ninh,105,364,2582,8,4,128,3000,4.5,6200000
2018-06-16,BlackBerry KEY2,Bắc Ninh,330,458,2479,8,4,128,3000,4.5,6200000
2018-06-17,BlackBerry KEY2,Bắc Ninh,180,424,4031,8,4,128,3000,4.5,6200000
2018-06-18,BlackBerry KEY2,Bắc Ninh,144,237,2488,8,4,128,3000,4.5,6200000
2018-06-19,BlackBerry KEY2,Bắc Ninh,221,393,3234,8,4,128,3000,4.5,6200000
2018-06-20,BlackBerry KEY2,Bắc Ninh,157,328,2584,8,4,128,3000,4.5,6200000
2018-06-21,BlackBerry KEY2,Bắc Ninh,173,456,2020,8,4,128,3000,4.5,6200000
2018-06-22,BlackBerry KEY2,Bắc Ninh,321,353,2507,8,4,128,3000,4.5,6200000
2018-06-23,BlackBerry KEY2,Bắc Ninh,361,287,1931,8,4,128,3000,4.5,6200000
2018-06-24,BlackBerry KEY2,Bắc Ninh,354,284,4032,8,4,128,3000,4.5,6200000
2018-06-25,BlackBerry KEY2,Bắc Ninh,130,277,2397,8,4,128,3000,4.5,6200000
2018-06-26,BlackBerry KEY2,Bắc Ninh,130,325,1924,8,4,128,3000,4.5,6200000
2018-06-27,BlackBerry KEY2,Bắc Ninh,294,443,1991,8,4,128,3000,4.5,6200000
2018-06-28,BlackBerry KEY2,Bắc Ninh,367,350,1277,8,4,128,3000,4.5,6200000
2018-06-29,BlackBerry KEY2,Bắc Ninh,345,443,1969,8,4,128,3000,4.5,6200000
2018-06-30,BlackBerry KEY2,Bắc Ninh,215,462,3052,8,4,128,3000,4.5,6200000
2018-07-01,BlackBerry KEY2,Bắc Ninh,216,339,2314,8,4,128,3000,4.5,6200000
2018-07-02,BlackBerry KEY2,Bắc Ninh,212,433,1781,8,4,128,3000,4.5,6200000
2018-07-03,BlackBerry KEY2,Bắc Ninh,343,277,1374,8,4,128,3000,4.5,6200000
2018-07-04,BlackBerry KEY2,Bắc Ninh,317,363,2247,8,4,128,3000,4.5,6200000
2018-07-05,BlackBerry KEY2,Bắc Ninh,332,401,1799,8,4,128,3000,4.5,6200000
2018-07-06,BlackBerry KEY2,Bắc Ninh,361,464,2891,8,4,128,3000,4.5,6200000
2018-07-07,BlackBerry KEY2,Bắc Ninh,277,244,1903,8,4,128,3000,4.5,6200000
2018-07-08,BlackBerry KEY2,Bắc Ninh,120,428,2006,8,4,128,3000,4.5,6200000
2018-07-09,BlackBerry KEY2,Bắc Ninh,221,278,3886,8,4,128,3000,4.5,6200000
2018-07-10,BlackBerry KEY2,Bắc Ninh,205,439,2693,8,4,128,3000,4.5,6200000
2018-07-11,BlackBerry KEY2,Bắc Ninh,219,447,2871,8,4,128,3000,4.5,6200000
2018-07-12,BlackBerry KEY2,Bắc Ninh,339,481,2039,8,4,128,3000,4.5,6200000
2018-07-13,BlackBerry KEY2,Bắc Ninh,353,273,1831,8,4,128,3000,4.5,6200000
2018-07-14,BlackBerry KEY2,Bắc Ninh,150,410,1444,8,4,128,3000,4.5,6200000
2018-07-15,BlackBerry KEY2,Bắc Ninh,146,263,2390,8,4,128,3000,4.5,6200000
2018-07-16,BlackBerry KEY2,Bắc Ninh,356,239,3705,8,4,128,3000,4.5,6200000
2018-07-17,BlackBerry KEY2,Bắc Ninh,327,345,2896,8,4,128,3000,4.5,6200000
2018-07-18,BlackBerry KEY2,Bắc Ninh,172,499,1163,8,4,128,3000,4.5,6200000
2018-07-19,BlackBerry KEY2,Bắc Ninh,385,358,2694,8,4,128,3000,4.5,6200000
2018-07-20,BlackBerry KEY2,Bắc Ninh,351,321,1295,8,4,128,3000,4.5,6200000
2018-07-21,BlackBerry KEY2,Bắc Ninh,242,423,3389,8,4,128,3000,4.5,6200000
2018-07-22,BlackBerry KEY2,Bắc Ninh,382,431,4087,8,4,128,3000,4.5,6200000
2018-07-23,BlackBerry KEY2,Bắc Ninh,262,331,3107,8,4,128,3000,4.5,6200000
2018-07-24,BlackBerry KEY2,Bắc Ninh,387,398,1109,8,4,128,3000,4.5,6200000
2018-07-25,BlackBerry KEY2,Bắc Ninh,121,260,1110,8,4,128,3000,4.5,6200000
2018-07-26,BlackBerry KEY2,Bắc Ninh,344,325,1700,8,4,128,3000,4.5,6200000
2018-07-27,BlackBerry KEY2,Bắc Ninh,149,374,1835,8,4,128,3000,4.5,6200000
2018-07-28,BlackBerry KEY2,Bắc Ninh,117,347,3743,8,4,128,3000,4.5,6200000
2018-07-29,BlackBerry KEY2,Bắc Ninh,263,310,4009,8,4,128,3000,4.5,6200000
2018-07-30,BlackBerry KEY2,Bắc Ninh,373,285,3873,8,4,128,3000,4.5,6200000
2018-07-31,BlackBerry KEY2,Bắc Ninh,142,269,1464,8,4,128,3000,4.5,6200000
2018-08-01,BlackBerry KEY2,Bắc Ninh,349,350,2497,8,4,128,3000,4.5,6200000
2018-08-02,BlackBerry KEY2,Bắc Ninh,382,317,2677,8,4,128,3000,4.5,6200000
2018-08-03,BlackBerry KEY2,Bắc Ninh,373,305,2344,8,4,128,3000,4.5,6200000
2018-08-04,BlackBerry KEY2,Bắc Ninh,210,481,2535,8,4,128,3000,4.5,6200000
2018-08-05,BlackBerry KEY2,Bắc Ninh,353,211,1768,8,4,128,3000,4.5,6200000
2018-08-06,BlackBerry KEY2,Bắc Ninh,353,240,2446,8,4,128,3000,4.5,6200000
2018-08-07,BlackBerry KEY2,Bắc Ninh,349,366,1515,8,4,128,3000,4.5,6200000
2018-08-08,BlackBerry KEY2,Bắc Ninh,251,451,1888,8,4,128,3000,4.5,6200000
2018-08-09,BlackBerry KEY2,Bắc Ninh,267,311,3651,8,4,128,3000,4.5,6200000
2018-08-10,BlackBerry KEY2,Bắc Ninh,245,454,2392,8,4,128,3000,4.5,6200000
2018-08-11,BlackBerry KEY2,Bắc Ninh,309,293,2542,8,4,128,3000,4.5,6200000
2018-08-12,BlackBerry KEY2,Bắc Ninh,145,320,3770,8,4,128,3000,4.5,6200000
2018-08-13,BlackBerry KEY2,Bắc Ninh,297,381,4013,8,4,128,3000,4.5,6200000
2018-08-14,BlackBerry KEY2,Bắc Ninh,398,369,1262,8,4,128,3000,4.5,6200000
2018-08-15,BlackBerry KEY2,Bắc Ninh,230,379,2124,8,4,128,3000,4.5,6200000
2018-08-16,BlackBerry KEY2,Bắc Ninh,232,430,3787,8,4,128,3000,4.5,6200000
2018-08-17,BlackBerry KEY2,Bắc Ninh,255,457,2236,8,4,128,3000,4.5,6200000
2018-08-18,BlackBerry KEY2,Bắc Ninh,173,340,1949,8,4,128,3000,4.5,6200000
2018-08-19,BlackBerry KEY2,Bắc Ninh,109,339,1810,8,4,128,3000,4.5,6200000
2018-08-20,BlackBerry KEY2,Bắc Ninh,324,376,3376,8,4,128,3000,4.5,6200000
2018-08-21,BlackBerry KEY2,Bắc Ninh,274,425,3756,8,4,128,3000,4.5,6200000
2018-08-22,BlackBerry KEY2,Bắc Ninh,119,476,2505,8,4,128,3000,4.5,6200000
2018-08-23,BlackBerry KEY2,Bắc Ninh,280,372,3200,8,4,128,3000,4.5,6200000
2018-08-24,BlackBerry KEY2,Bắc Ninh,311,424,1899,8,4,128,3000,4.5,6200000
